"ccaa_num","sexo","anyo","poblacion","idjoin","CCAA","Sexo","Periodo","casos","ccaa_num.y","tasa"
1,"Hombres",2002,460900,"12002","01 Andalucía","Mujeres",2002,611,1,132.566717292254
1,"Hombres",2002,460900,"12002","01 Andalucía","Total",2002,934,1,202.646995009764
1,"Hombres",2003,468064,"12003","01 Andalucía","Hombres",2003,367,1,78.4080809461954
1,"Hombres",2003,468064,"12003","01 Andalucía","Mujeres",2003,794,1,169.634921720107
1,"Hombres",2003,468064,"12003","01 Andalucía","Total",2003,1161,1,248.043002666302
1,"Hombres",2004,471824,"12004","01 Andalucía","Hombres",2004,419,1,88.8042999084404
1,"Hombres",2004,471824,"12004","01 Andalucía","Mujeres",2004,766,1,162.348672386314
1,"Hombres",2004,471824,"12004","01 Andalucía","Total",2004,1185,1,251.152972294754
1,"Hombres",2005,478643,"12005","01 Andalucía","Hombres",2005,417,1,87.12129917287
1,"Hombres",2005,478643,"12005","01 Andalucía","Mujeres",2005,982,1,205.16334721285
1,"Hombres",2005,478643,"12005","01 Andalucía","Total",2005,1399,1,292.28464638572
1,"Hombres",2006,489068,"12006","01 Andalucía","Hombres",2006,472,1,96.5100967554614
1,"Hombres",2006,489068,"12006","01 Andalucía","Mujeres",2006,1020,1,208.559954852904
1,"Hombres",2006,489068,"12006","01 Andalucía","Total",2006,1492,1,305.070051608365
1,"Hombres",2007,495527,"12007","01 Andalucía","Hombres",2007,516,1,104.131560944207
1,"Hombres",2007,495527,"12007","01 Andalucía","Mujeres",2007,1104,1,222.793107136443
1,"Hombres",2007,495527,"12007","01 Andalucía","Total",2007,1620,1,326.924668080649
1,"Hombres",2008,506617,"12008","01 Andalucía","Hombres",2008,518,1,102.246864988739
1,"Hombres",2008,506617,"12008","01 Andalucía","Mujeres",2008,1199,1,236.667936527989
1,"Hombres",2008,506617,"12008","01 Andalucía","Total",2008,1717,1,338.914801516728
1,"Hombres",2009,519485,"12009","01 Andalucía","Hombres",2009,619,1,119.156472275427
1,"Hombres",2009,519485,"12009","01 Andalucía","Mujeres",2009,1193,1,229.650519264271
1,"Hombres",2009,519485,"12009","01 Andalucía","Total",2009,1812,1,348.806991539698
1,"Hombres",2010,533564,"12010","01 Andalucía","Hombres",2010,623,1,116.762000434812
1,"Hombres",2010,533564,"12010","01 Andalucía","Mujeres",2010,1198,1,224.527891686845
1,"Hombres",2010,533564,"12010","01 Andalucía","Total",2010,1821,1,341.289892121657
1,"Hombres",2011,546187,"12011","01 Andalucía","Hombres",2011,642,1,117.54216046885
1,"Hombres",2011,546187,"12011","01 Andalucía","Mujeres",2011,1394,1,255.22394344794
1,"Hombres",2011,546187,"12011","01 Andalucía","Total",2011,2036,1,372.76610391679
1,"Hombres",2012,556590,"12012","01 Andalucía","Hombres",2012,699,1,125.586158572738
1,"Hombres",2012,556590,"12012","01 Andalucía","Mujeres",2012,1546,1,277.762805655869
1,"Hombres",2012,556590,"12012","01 Andalucía","Total",2012,2245,1,403.348964228606
1,"Hombres",2013,570851,"12013","01 Andalucía","Hombres",2013,663,1,116.142390921624
1,"Hombres",2013,570851,"12013","01 Andalucía","Mujeres",2013,1533,1,268.546433307466
1,"Hombres",2013,570851,"12013","01 Andalucía","Total",2013,2196,1,384.68882422909
1,"Hombres",2014,585103,"12014","01 Andalucía","Hombres",2014,713,1,121.858886384107
1,"Hombres",2014,585103,"12014","01 Andalucía","Mujeres",2014,1673,1,285.932562300997
1,"Hombres",2014,585103,"12014","01 Andalucía","Total",2014,2386,1,407.791448685103
1,"Hombres",2015,594638,"12015","01 Andalucía","Hombres",2015,826,1,138.90804153115
1,"Hombres",2015,594638,"12015","01 Andalucía","Mujeres",2015,1778,1,299.005445329764
1,"Hombres",2015,594638,"12015","01 Andalucía","Total",2015,2604,1,437.913486860914
1,"Hombres",2016,604291,"12016","01 Andalucía","Hombres",2016,750,1,124.112389560659
1,"Hombres",2016,604291,"12016","01 Andalucía","Mujeres",2016,1718,1,284.300113686949
1,"Hombres",2016,604291,"12016","01 Andalucía","Total",2016,2468,1,408.412503247608
1,"Hombres",2017,614753,"12017","01 Andalucía","Hombres",2017,685,1,111.426865749333
1,"Hombres",2017,614753,"12017","01 Andalucía","Mujeres",2017,1640,1,266.773809969207
1,"Hombres",2017,614753,"12017","01 Andalucía","Total",2017,2325,1,378.200675718541
1,"Hombres",2018,626096,"12018","01 Andalucía","Hombres",2018,771,1,123.144054585878
1,"Hombres",2018,626096,"12018","01 Andalucía","Mujeres",2018,1708,1,272.801615087782
1,"Hombres",2018,626096,"12018","01 Andalucía","Total",2018,2479,1,395.94566967366
1,"Hombres",2019,640745,"12019","01 Andalucía","Hombres",2019,743,1,115.958766748082
1,"Hombres",2019,640745,"12019","01 Andalucía","Mujeres",2019,1647,1,257.044534097028
1,"Hombres",2019,640745,"12019","01 Andalucía","Total",2019,2390,1,373.00330084511
1,"Mujeres",2002,626377,"12002","01 Andalucía","Hombres",2002,323,1,51.5663889319052
1,"Mujeres",2002,626377,"12002","01 Andalucía","Mujeres",2002,611,1,97.5450886606628
1,"Mujeres",2002,626377,"12002","01 Andalucía","Total",2002,934,1,149.111477592568
1,"Mujeres",2003,635640,"12003","01 Andalucía","Hombres",2003,367,1,57.7370838839595
1,"Mujeres",2003,635640,"12003","01 Andalucía","Mujeres",2003,794,1,124.913473035051
1,"Mujeres",2003,635640,"12003","01 Andalucía","Total",2003,1161,1,182.650556919011
1,"Mujeres",2004,641143,"12004","01 Andalucía","Hombres",2004,419,1,65.3520353493682
1,"Mujeres",2004,641143,"12004","01 Andalucía","Mujeres",2004,766,1,119.474126676888
1,"Mujeres",2004,641143,"12004","01 Andalucía","Total",2004,1185,1,184.826162026256
1,"Mujeres",2005,649634,"12005","01 Andalucía","Hombres",2005,417,1,64.1899900559392
1,"Mujeres",2005,649634,"12005","01 Andalucía","Mujeres",2005,982,1,151.162038932691
1,"Mujeres",2005,649634,"12005","01 Andalucía","Total",2005,1399,1,215.352028988631
1,"Mujeres",2006,661346,"12006","01 Andalucía","Hombres",2006,472,1,71.369600783856
1,"Mujeres",2006,661346,"12006","01 Andalucía","Mujeres",2006,1020,1,154.230916948163
1,"Mujeres",2006,661346,"12006","01 Andalucía","Total",2006,1492,1,225.600517732019
1,"Mujeres",2007,668617,"12007","01 Andalucía","Hombres",2007,516,1,77.1742267994981
1,"Mujeres",2007,668617,"12007","01 Andalucía","Mujeres",2007,1104,1,165.116950361717
1,"Mujeres",2007,668617,"12007","01 Andalucía","Total",2007,1620,1,242.291177161215
1,"Mujeres",2008,680601,"12008","01 Andalucía","Hombres",2008,518,1,76.1092034833919
1,"Mujeres",2008,680601,"12008","01 Andalucía","Mujeres",2008,1199,1,176.167828140129
1,"Mujeres",2008,680601,"12008","01 Andalucía","Total",2008,1717,1,252.277031623521
1,"Mujeres",2009,694429,"12009","01 Andalucía","Hombres",2009,619,1,89.1379824287292
1,"Mujeres",2009,694429,"12009","01 Andalucía","Mujeres",2009,1193,1,171.795820739053
1,"Mujeres",2009,694429,"12009","01 Andalucía","Total",2009,1812,1,260.933803167782
1,"Mujeres",2010,709863,"12010","01 Andalucía","Hombres",2010,623,1,87.7634135037324
1,"Mujeres",2010,709863,"12010","01 Andalucía","Mujeres",2010,1198,1,168.764958872346
1,"Mujeres",2010,709863,"12010","01 Andalucía","Total",2010,1821,1,256.528372376078
1,"Mujeres",2011,723442,"12011","01 Andalucía","Hombres",2011,642,1,88.7424285568159
1,"Mujeres",2011,723442,"12011","01 Andalucía","Mujeres",2011,1394,1,192.689946118694
1,"Mujeres",2011,723442,"12011","01 Andalucía","Total",2011,2036,1,281.43237467551
1,"Mujeres",2012,733815,"12012","01 Andalucía","Hombres",2012,699,1,95.255616197543
1,"Mujeres",2012,733815,"12012","01 Andalucía","Mujeres",2012,1546,1,210.679803492706
1,"Mujeres",2012,733815,"12012","01 Andalucía","Total",2012,2245,1,305.935419690249
1,"Mujeres",2013,749077,"12013","01 Andalucía","Hombres",2013,663,1,88.5089249836799
1,"Mujeres",2013,749077,"12013","01 Andalucía","Mujeres",2013,1533,1,204.651858220183
1,"Mujeres",2013,749077,"12013","01 Andalucía","Total",2013,2196,1,293.160783203863
1,"Mujeres",2014,764214,"12014","01 Andalucía","Hombres",2014,713,1,93.2984739876527
1,"Mujeres",2014,764214,"12014","01 Andalucía","Mujeres",2014,1673,1,218.917737701743
1,"Mujeres",2014,764214,"12014","01 Andalucía","Total",2014,2386,1,312.216211689396
1,"Mujeres",2015,773459,"12015","01 Andalucía","Hombres",2015,826,1,106.792990966554
1,"Mujeres",2015,773459,"12015","01 Andalucía","Mujeres",2015,1778,1,229.876438182244
1,"Mujeres",2015,773459,"12015","01 Andalucía","Total",2015,2604,1,336.669429148798
1,"Mujeres",2016,782639,"12016","01 Andalucía","Hombres",2016,750,1,95.8296225973916
1,"Mujeres",2016,782639,"12016","01 Andalucía","Mujeres",2016,1718,1,219.513722163092
1,"Mujeres",2016,782639,"12016","01 Andalucía","Total",2016,2468,1,315.343344760483
1,"Mujeres",2017,792279,"12017","01 Andalucía","Hombres",2017,685,1,86.4594416865776
1,"Mujeres",2017,792279,"12017","01 Andalucía","Mujeres",2017,1640,1,206.997787395602
1,"Mujeres",2017,792279,"12017","01 Andalucía","Total",2017,2325,1,293.457229082179
1,"Mujeres",2018,803290,"12018","01 Andalucía","Hombres",2018,771,1,95.9802810940009
1,"Mujeres",2018,803290,"12018","01 Andalucía","Mujeres",2018,1708,1,212.625577313299
1,"Mujeres",2018,803290,"12018","01 Andalucía","Total",2018,2479,1,308.6058584073
1,"Mujeres",2019,818828,"12019","01 Andalucía","Hombres",2019,743,1,90.739447112214
1,"Mujeres",2019,818828,"12019","01 Andalucía","Mujeres",2019,1647,1,201.141143194908
1,"Mujeres",2019,818828,"12019","01 Andalucía","Total",2019,2390,1,291.880590307122
2,"Ambos sexos",2002,259392,"22002","02 Aragón","Hombres",2002,85,2,32.7689365901801
2,"Ambos sexos",2002,259392,"22002","02 Aragón","Mujeres",2002,200,2,77.1033802121885
2,"Ambos sexos",2002,259392,"22002","02 Aragón","Total",2002,285,2,109.872316802369
2,"Ambos sexos",2003,259481,"22003","02 Aragón","Hombres",2003,117,2,45.0900065900779
2,"Ambos sexos",2003,259481,"22003","02 Aragón","Mujeres",2003,242,2,93.2630905538363
2,"Ambos sexos",2003,259481,"22003","02 Aragón","Total",2003,359,2,138.353097143914
2,"Ambos sexos",2004,257734,"22004","02 Aragón","Hombres",2004,101,2,39.1876896334981
2,"Ambos sexos",2004,257734,"22004","02 Aragón","Mujeres",2004,209,2,81.0913577564466
2,"Ambos sexos",2004,257734,"22004","02 Aragón","Total",2004,310,2,120.279047389945
2,"Ambos sexos",2005,257208,"22005","02 Aragón","Hombres",2005,97,2,37.7126683462412
2,"Ambos sexos",2005,257208,"22005","02 Aragón","Mujeres",2005,234,2,90.9769525053653
2,"Ambos sexos",2005,257208,"22005","02 Aragón","Total",2005,331,2,128.689620851606
